iso3c,country,inflation_years,inflation_mean,inflation_sd,unemployment_level,oop_health_level,levels_year,data_ok
AFG,Afghanistan,20,5.253529919536555,7.6007329208456005,13.295,77.94615173,2024.0,True
AFE,Africa Eastern and Southern,25,7.175877495615184,2.1488560028833,7.7727048111679,16.2898850190604,2024.0,True
AFW,Africa Western and Central,25,3.3856552273750724,1.9255721639074836,3.21831342109344,60.8721302093416,2024.0,True
ALB,Albania,25,2.6223755300996943,1.7056526170440207,10.25,51.26052094,2024.0,True
DZA,Algeria,25,4.438028183594721,2.389474922435821,11.427,49.97584915,2024.0,True
AGO,Angola,25,43.00386504891774,68.64417188520481,14.464,28.70015144,2024.0,True
ARB,Arab World,25,3.3086021937722503,1.9971188475537818,9.45986362744839,25.8831165635637,2024.0,True
ARG,Argentina,7,86.29337479515458,67.62607011563337,7.876,26.40138435,2024.0,True
ARM,Armenia,25,3.563881914510976,3.000840160211942,13.329,79.0908432,2024.0,True
AUS,Australia,25,2.87442560505359,1.359428050730656,4.072,15.2829895,2024.0,True
AUT,Austria,25,2.4756574468199624,1.8568443407213244,5.439,16.13623428,2024.0,True
AZE,Azerbaijan,25,6.362685106150919,5.437387057802858,5.594,64.46770477,2024.0,True
BHS,"Bahamas, The",25,2.056473570935514,1.2920912327778136,8.463,24.24633217,2024.0,True
BHR,Bahrain,25,1.4715546640178103,1.6512223359489833,1.102,23.47058868,2024.0,True
BGD,Bangladesh,25,6.645533611204366,2.2884012783848475,4.68,72.52640533,2024.0,True
BRB,Barbados,22,3.7571619609148814,3.032681036191882,7.529,46.7436409,2024.0,True
BLR,Belarus,25,24.47353912726289,34.54672139659741,3.361,27.618536,2024.0,True
BEL,Belgium,25,2.372546703051412,1.8539764830231575,5.488,20.04573441,2024.0,True
BLZ,Belize,25,1.7325375099637836,2.8913359478663616,7.0,26.60677338,2024.0,True
BEN,Benin,25,2.198098110310739,2.173470704594134,1.722,42.49658966,2024.0,True
BTN,Bhutan,25,5.2939991080848925,2.3336618594342347,2.856,34.56685638,2024.0,True
BOL,Bolivia,25,4.190397595749686,3.033408960342125,3.091,21.87678146,2024.0,True
BIH,Bosnia and Herzegovina,19,2.332680808420158,3.818887780499563,10.723,30.88310814,2024.0,True
BWA,Botswana,25,6.576655476493222,3.02286184545002,23.138,4.39138889,2024.0,True
BRA,Brazil,25,6.275504319055091,2.5598925436068107,7.634,27.36837578,2024.0,True
BRN,Brunei Darussalam,25,0.5266437090415974,1.1895442763106407,5.144,7.65840197,2024.0,True
BGR,Bulgaria,25,4.645390825760382,4.12514688397173,4.104,35.07592392,2024.0,True
BFA,Burkina Faso,25,2.500858037554122,3.676956138115989,5.166,34.61856079,2024.0,True
BDI,Burundi,25,10.499283842620228,8.054011197279186,0.902,24.51572418,2024.0,True
CPV,Cabo Verde,25,1.8968990828140073,2.512612402718295,11.878,25.71064949,2024.0,True
KHM,Cambodia,25,3.7189559168749664,4.866218039636942,0.27,61.21101379,2024.0,True
CMR,Cameroon,25,2.688541167855176,1.8679686611332116,3.518,67.69355011,2024.0,True
CAN,Canada,25,2.2294418855530176,1.2441549912101553,6.45,15.30350018,2024.0,True
CSS,Caribbean small states,25,2.4038720730016987,1.8021277384163656,7.42393891631139,38.039608450064,2024.0,True
CAF,Central African Republic,25,3.825775606725827,3.2884503906574727,5.899,47.64571381,2024.0,True
CEB,Central Europe and the Baltics,25,3.790412163311338,3.2825857446671827,3.86713329021602,19.8387671390492,2024.0,True
TCD,Chad,25,3.4190861565340227,5.431013996023781,1.088,58.17550659,2024.0,True
CHL,Chile,25,3.7743748285269665,2.4353729461806912,9.056,35.03757477,2024.0,True
CHN,China,25,2.0179803965470238,1.713471434907264,4.571,33.58712006,2024.0,True
COL,Colombia,25,5.382469206659121,2.561118522357313,9.608,14.61574936,2024.0,True
COM,Comoros,24,3.4150053941317666,3.3728611651662175,3.875,43.93103027,2024.0,True
COD,"Congo, Dem. Rep.",17,60.674708429805,100.0,4.556,37.07655334,2024.0,True
COG,"Congo, Rep.",25,2.5533074022515283,1.909064913136086,19.694,25.39348602,2024.0,True
CRI,Costa Rica,25,6.055728178474794,4.632997811620771,7.848,22.43504333,2024.0,True
CIV,Cote d'Ivoire,25,2.569955827769037,1.6762557473187787,2.288,28.80875015,2024.0,True
HRV,Croatia,25,2.66704266096009,2.606989615849384,5.236,9.1891737,2024.0,True
CYP,Cyprus,25,1.9265722278703685,2.271128208864394,5.602,14.55644226,2024.0,True
CZE,Czechia,25,3.1976261980811493,3.3014810862333066,2.506,14.07175064,2024.0,True
DNK,Denmark,25,1.9176211064420505,1.5116582294085403,5.587,13.84249687,2024.0,True
DJI,Djibouti,24,2.796332602210379,2.4984465941621945,25.875,30.98972321,2024.0,True
DOM,Dominican Republic,25,7.776550511971486,10.46245155160839,5.473,27.57388115,2024.0,True
EAR,Early-demographic dividend,25,4.704171194412883,1.6267526619863575,5.29873898579239,33.9523824035095,2024.0,True
EAS,East Asia & Pacific,25,2.944638249553745,1.6774035545673396,3.78321987995003,25.4576233938874,2024.0,True
TEA,East Asia & Pacific (IDA & IBRD countries),25,3.68107633467666,1.8781226912987439,3.90185859989858,33.4540721666921,2024.0,True
EAP,East Asia & Pacific (excluding high income),25,3.7993575598228766,1.8545346889332794,3.88578969882738,33.4554313714399,2024.0,True
ECU,Ecuador,25,8.43407741988985,19.724498698082048,4.773,32.47224045,2024.0,True
EGY,"Egypt, Arab Rep.",25,11.476767008217509,8.26727332584238,7.198,53.82896805,2024.0,True
SLV,El Salvador,25,2.5084384518609575,2.1587808906817583,2.839,31.60897255,2024.0,True
GNQ,Equatorial Guinea,25,4.08112106196926,2.3561922362468573,7.823,70.37992096,2024.0,True
EST,Estonia,25,4.1103999078185245,4.17416525434662,7.828,23.14767838,2024.0,True
