iso3c,country,stress_probability,severe_stress_probability,avg_shortfall_when_stressed,var95_shortfall,cvar95_shortfall,risk_score
BGD,Bangladesh,0.9996666666666667,0.955,4140.345030390148,7259.088652038249,8218.00826908432,100.0
BRA,Brazil,0.9993333333333333,0.9096666666666666,3579.5943229079285,6670.295425843196,7268.839427763661,100.0
URY,Uruguay,0.9993333333333333,0.9353333333333333,3879.064806634447,6981.512395127279,7973.119733875077,100.0
ZAF,South Africa,0.999,0.909,3541.877020104714,6670.295425843196,7291.155932266469,100.0
YEM,"Yemen, Rep.",0.9996666666666667,0.9583333333333334,4184.088245634947,7269.577380777833,8420.003851070382,100.0
UZB,Uzbekistan,1.0,0.9996666666666667,6217.016993747729,8899.320537907195,8972.241768743088,100.0
KAZ,Kazakhstan,0.9993333333333333,0.9316666666666666,3870.6109292721394,6974.966410008508,7965.15136620756,100.0
NPL,Nepal,0.999,0.897,3449.7225795054824,6670.295425843196,7244.052284820001,100.0
NAM,Namibia,0.9996666666666667,0.9426666666666667,3929.3759134090496,7045.574030972019,7881.034283313051,100.0
MEX,Mexico,0.9996666666666667,0.9526666666666667,4095.4794091842714,7127.5233153249255,7997.317982678712,100.0
GTM,Guatemala,0.9996666666666667,0.8893333333333333,3406.9358001544156,6670.295425843196,7237.829658231753,100.0
HND,Honduras,0.9993333333333333,0.9303333333333333,3779.8839618257566,6867.136500943956,7776.927599445611,100.0
IND,India,0.9993333333333333,0.9063333333333333,3562.9612616278314,6670.295425843196,7259.181414384716,100.0
SWZ,Eswatini,0.9993333333333333,0.9213333333333333,3655.5715630324453,6670.295425843198,7602.010110835692,100.0
NGA,Nigeria,0.9996666666666667,0.928,3747.792128147502,6670.295425843198,7812.839513390424,100.0
ZMB,Zambia,0.999,0.9076666666666666,3569.233276765922,6670.295425843196,7185.954643035646,99.9138749521252
TUN,Tunisia,0.9983333333333333,0.885,3331.6711978075145,6551.165060232907,7203.667744946576,99.85041082598374
BWA,Botswana,0.9986666666666667,0.881,3332.9459632547764,6670.295425843196,7225.949627033136,99.7715400163477
LBR,Liberia,0.999,0.8863333333333333,3364.415857064349,6670.295425843196,7160.354484539505,99.73605541757397
MWI,Malawi,0.9983333333333333,0.8893333333333333,3351.602281883645,6670.295425843196,7113.86533235357,99.41314025262953
MDG,Madagascar,0.999,0.876,3312.1518868111784,6670.295425843196,7166.175326134668,99.24871395615943
BTN,Bhutan,0.9986666666666667,0.8726666666666667,3287.811042173835,6625.299571501641,7210.925582594977,99.17873863148172
STP,Sao Tome and Principe,0.998,0.8783333333333333,3277.2110411155754,6670.295425843196,7136.960740787866,98.78518698610486
IRN,"Iran, Islamic Rep.",0.9956666666666667,0.8673333333333333,3158.7374888278064,6670.295425843196,7088.724487743895,97.1395869151121
RUS,Russian Federation,0.9966666666666667,0.8556666666666667,3138.5527323498586,6670.295425843196,7102.862550656359,96.79343982462474
COL,Colombia,0.9976666666666667,0.8513333333333334,3133.8548142298746,6413.490604305785,7086.462051351873,96.53957501866967
JAM,Jamaica,0.9956666666666667,0.847,3093.003618829013,6638.514426650382,7105.386763531867,96.20693306967173
NIC,Nicaragua,0.997,0.8416666666666667,3071.8445446353644,6460.306650112617,7073.336003146864,95.67419665180536
GIN,Guinea,0.994,0.8436666666666667,3019.23269583635,6670.295425843196,7049.873493727385,95.08466205534981
TZA,Tanzania,0.997,0.834,3035.6700957368507,6351.965699409722,7025.088492617654,94.8416553613321
PHL,Philippines,0.9976666666666667,0.8483333333333334,3090.753055593183,6229.183322895204,6903.264785593562,94.81290895308558
GHA,Ghana,0.994,0.8406666666666667,2993.6929233270935,6670.295425843196,7034.6383333444355,94.6821255186418
KEN,Kenya,0.9943333333333333,0.8243333333333334,2936.593828544354,6283.675889408969,6976.889702242611,93.40033000010575
